Open Time,Open Price,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Close Return
1599451200000,0.7565,0.7595,0.6731,0.7,561161.1,1599465599999,394769.58548,2247,357024.8,251038.6,-0.07529723
1599465600000,0.6972,0.7251,0.6405,0.6495,599268.5,1599479999999,407666.55485,2656,249303.8,170849.0,-0.07214286
1599480000000,0.6509999999999999,0.7218,0.6222,0.7106,590218.4,1599494399999,389706.522681,2656,243526.2,162788.8,0.09407236
1599494400000,0.7062,0.7341,0.6877,0.691,328463.8,1599508799999,234021.595667,1581,140535.7,100264.3,-0.02758232
1599508800000,0.6887,0.75,0.6811,0.7221,279030.7,1599523199999,195875.653068,1292,165296.9,116072.3,0.04500724
1599523200000,0.7178,0.7625,0.7172,0.7559999999999999,272274.9,1599537599999,201650.733135,1510,157188.4,116709.4,0.04694641
1599537600000,0.7534,0.7614,0.7114,0.718,567848.3,1599551999999,420302.314016,2188,245707.7,181409.0,-0.05026455
1599552000000,0.7207,0.7324,0.6503,0.659,631625.0,1599566399999,431714.73736400006,2610,276556.5,187645.0,-0.0821727
1599566400000,0.6542,0.7064,0.6504,0.6981,421473.6,1599580799999,284863.910569,1798,230817.1,156651.8,0.05933232
1599580800000,0.6955,0.7244,0.6667,0.68,373213.6,1599595199999,259809.522967,1617,189164.6,132264.7,-0.02592752
1599595200000,0.6805,0.7037,0.6588,0.6969,241484.9,1599609599999,166311.927415,1266,124892.0,86158.4,0.02485294
1599609600000,0.6953,0.7115,0.655,0.6591,457143.4,1599623999999,308759.517203,1591,218980.0,147981.4,-0.05424021
1599624000000,0.6596,0.6886,0.6541,0.6824,297674.1,1599638399999,198158.389952,1265,181446.7,120831.8,0.03535124
1599638400000,0.6821,0.726,0.6738,0.6979,320046.5,1599652799999,223697.858203,1919,158282.8,111171.7,0.02271395
1599652800000,0.6981,0.7597,0.6978,0.7429,593021.9,1599667199999,434538.70267299993,2505,364505.8,268658.4,0.06447915
1599667200000,0.7455,0.7636,0.7248,0.7387,275287.0,1599681599999,204872.559685,1567,149995.5,111658.5,-0.00565352
1599681600000,0.7409,0.7568,0.715,0.7274,452038.1,1599695999999,331703.923933,2125,222187.0,162341.4,-0.01529714
1599696000000,0.7302,0.8252,0.7287,0.7748,694947.2,1599710399999,538303.378301,3684,387095.7,300162.8,0.0651636
1599710400000,0.78,0.7877,0.7433,0.7490000000000001,213316.4,1599724799999,163703.147792,1183,90225.4,69232.0,-0.03329892
1599724800000,0.7440000000000001,0.7748,0.74,0.7575,311080.6,1599739199999,235028.45347,1686,143771.0,108709.1,0.01134846
1599739200000,0.7584,0.82,0.7485,0.7733,488310.8,1599753599999,378678.326425,2374,261090.0,202840.6,0.02085809
1599753600000,0.7746,0.7746,0.7022,0.7117,395906.2,1599767999999,288880.901804,1979,152287.8,110950.2,-0.07965861
1599768000000,0.7113,0.7398,0.7051,0.7229,224454.8,1599782399999,161884.916187,947,130007.5,93938.2,0.01573697
1599782400000,0.7287,0.7294,0.6624,0.6681,488764.4,1599796799999,334830.108639,2311,179381.2,122765.3,-0.07580578
1599796800000,0.6666,0.7453,0.6648,0.725,648250.9,1599811199999,465530.257009,3037,332403.6,238155.0,0.08516689
1599811200000,0.7223,0.741,0.7025,0.705,436709.8,1599825599999,316022.883024,1855,201142.0,145787.8,-0.02758621
1599825600000,0.7045,0.7469,0.7026,0.736,266244.4,1599839999999,193399.735974,1208,169970.6,123536.1,0.04397163
1599840000000,0.736,0.7418,0.7081,0.725,334860.6,1599854399999,242646.5583,1473,137058.8,99464.9,-0.01494565
1599854400000,0.7239,0.7628,0.7226,0.7486,441081.7,1599868799999,328543.610824,2100,227255.3,169348.0,0.03255172
1599868800000,0.7476,0.7511,0.7056,0.7204,1235603.2,1599883199999,896793.486475,5606,513056.4,373388.0,-0.03767032
1599883200000,0.7221,0.7348,0.7103,0.7231,458631.5,1599897599999,331321.016998,2356,188866.2,136692.2,0.00374792
1599897600000,0.7234,0.7581,0.7192,0.7575,276249.2,1599911999999,203978.981523,1481,148961.1,109913.9,0.04757295
1599912000000,0.7575,0.76,0.7116,0.7192,538927.7,1599926399999,392947.327692,2583,204469.4,149675.6,-0.05056106
1599926400000,0.7199,0.7552,0.695,0.75,434736.8,1599940799999,317519.063655,2203,202462.8,148045.3,0.04282536
1599940800000,0.75,0.8087,0.7451,0.7998,895946.6,1599955199999,699812.664322,4930,478519.8,373503.2,0.0664
1599955200000,0.7986,0.8023,0.7437,0.8,455251.2,1599969599999,349570.571077,2545,242868.5,185999.0,0.00025006
